idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-1.3203355754166592e-47,-1.3203355754166592e-47,0.0025000000000000226,-1.5777268402178642e-31,-1.5777268402178642e-31,-0.05513774266502681,1.0518178934785741e-30,1.0518178934785741e-30,-0.21508171556648872,0.0,70.0,255.0,255.0,255.0
1,0.05,-7.888634201089335e-33,-7.888634201089335e-33,-0.0002568871332513179,-1.051817893478577e-31,-1.051817893478577e-31,-0.06589182844335124,1.44624960353304e-30,1.44624960353304e-30,-0.32223735890392197,0.0,70.0,255.0,255.0,255.0
2,0.1,-1.0518178934785784e-32,-1.0518178934785784e-32,-0.004089182844335102,-1.3147723668482418e-32,-1.3147723668482418e-32,-0.08736147855541901,1.5777268402178622e-30,1.5777268402178622e-30,-0.42862257334973297,0.0,70.0,255.0,255.0,255.0
3,0.15000000000000002,-9.203406567937577e-33,-9.203406567937577e-33,-0.008993034988793218,5.259089467392852e-32,5.259089467392852e-32,-0.10875408577832454,1.0518178934785857e-30,1.0518178934785857e-30,-0.42708171556652713,0.0,70.0,255.0,255.0,255.0
4,0.2,-5.259089467392931e-33,-5.259089467392931e-33,-0.014964591422167557,9.203406567937617e-32,9.203406567937617e-32,-0.13006965011207172,5.148758919125996e-31,5.148758919125996e-31,-0.4255488118158082,0.0,70.0,255.0,255.0,255.0
5,0.25,4.083984477020875e-47,4.083984477020875e-47,-0.02200000000000039,1.040784838651885e-31,1.040784838651885e-31,-0.15130896695990537,-8.550617490692751e-32,-8.550617490692751e-32,-0.4240616437519987,0.0,70.0,255.0,255.0,255.0
6,0.30000000000000004,5.1487589191259186e-33,5.1487589191259186e-33,-0.030095488118158095,8.348344818868342e-32,8.348344818868342e-32,-0.1724758144872716,-7.6618436296518256e-31,-7.6618436296518256e-31,-0.4226323633693671,0.0,70.0,255.0,255.0,255.0
7,0.35000000000000003,8.348344818868383e-33,8.348344818868383e-33,-0.03924758144872755,2.7460047568670243e-32,2.7460047568670243e-32,-0.19357220329684208,-1.3834224857699011e-30,-1.3834224857699011e-30,-0.42115734729978926,0.0,70.0,255.0,255.0,255.0
8,0.4,7.894763675992943e-33,7.894763675992943e-33,-0.0494527084478423,-5.485880038830668e-32,-5.485880038830668e-32,-0.21459154921725052,-1.7076717081767425e-30,-1.7076717081767425e-30,-0.41947110747771854,0.0,70.0,255.0,255.0,255.0
9,0.45,2.8624647800377148e-33,2.8624647800377148e-33,-0.0607067363704526,-1.4330712324900403e-31,-1.4330712324900403e-31,-0.23551931404461393,-1.5109155637672735e-30,-1.5109155637672735e-30,-0.4174361137113078,0.0,70.0,255.0,255.0,255.0
10,0.5,-6.435948648907462e-33,-6.435948648907462e-33,-0.0730046398523037,-2.0595035676503405e-31,-2.0595035676503405e-31,-0.2563351605883813,-4.73195462567251e-31,-4.73195462567251e-31,-0.4149492515050532,0.0,70.0,255.0,255.0,255.0
11,0.55,-1.773257089646569e-32,-1.773257089646569e-32,-0.08634025242929073,-1.9062666950572913e-31,-1.9062666950572913e-31,-0.27701423919511925,1.5096896687865798e-30,1.5096896687865798e-30,-0.4119764250817398,0.0,70.0,255.0,255.0,255.0
12,0.6000000000000001,-2.5498615599480376e-32,-2.5498615599480376e-32,-0.10070606377181562,-5.498138988637606e-32,-5.498138988637606e-32,-0.2975328030965553,3.826018234902831e-30,3.826018234902831e-30,-0.40860880452565806,0.0,70.0,255.0,255.0,255.0
13,0.65,-2.3230709885103297e-32,-2.3230709885103297e-32,-0.11609353273894626,1.9197515398455403e-31,1.9197515398455403e-31,-0.31787511964768506,5.447264346937071e-30,5.447264346937071e-30,-0.4050291877851958,0.0,70.0,255.0,255.0,255.0
14,0.7000000000000001,-6.301100201024973e-33,-6.301100201024973e-33,-0.13249357573658413,4.897450448073311e-31,4.897450448073311e-31,-0.33803572187507486,5.28851094693064e-30,5.28851094693064e-30,-0.4014580430697384,0.0,70.0,255.0,255.0,255.0
15,0.75,2.5743794595629815e-32,2.5743794595629815e-32,-0.14989710492645375,7.208262486776181e-31,7.208262486776181e-31,-0.3580209239546589,1.8927818502690197e-30,1.8927818502690197e-30,-0.39813511519190825,0.0,70.0,255.0,255.0,255.0
16,0.8,6.578152466673684e-32,6.578152466673684e-32,-0.16829566813205002,6.790232298342331e-31,6.790232298342331e-31,-0.3778492333942657,-5.283607367007841e-30,-5.283607367007841e-30,-0.3951884917347659,0.0,70.0,255.0,255.0,255.0
17,0.8500000000000001,9.364611757905313e-32,9.364611757905313e-32,-0.18768202826588032,1.9246551197683392e-31,1.9246551197683392e-31,-0.3975397731281355,-1.3920650453841428e-29,-1.3920650453841428e-29,-0.3925219334320884,0.0,70.0,255.0,255.0,255.0
