idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
18,0.9,-3.404235860070692e-76,-1.8683499207835955e-44,-0.17600584661812987,2.8547776643745474e-75,1.5667902702188817e-43,-0.3561538500142705,8.039905943457117e-74,4.412549027156341e-42,-0.336734724019494,0.0,70.0,255.0,255.0,255.0
19,0.9500000000000001,-8.94495365481316e-77,-4.909267201020566e-45,-0.19423442567752464,7.26933929116319e-75,3.989638217521094e-43,-0.3729118191563868,7.864442517855067e-74,4.31624927273298e-42,-0.3336763875810417,0.0,70.0,255.0,255.0,255.0
20,1.0,3.8651034310924986e-76,2.1212882967374992e-44,-0.21329702853376856,1.0719220182229615e-74,5.883039542951862e-43,-0.3895214887723747,2.84177128457446e-74,1.5596519667440267e-42,-0.33087747053862915,0.0,70.0,255.0,255.0,255.0
21,1.05,9.8247248167483e-76,5.392112822849805e-44,-0.2331865745547621,1.011111057573765e-74,5.549290184265121e-43,-0.40599956621024974,-7.85708041608182e-74,-4.312208723596484e-42,-0.3284172189195633,0.0,70.0,255.0,255.0,255.0
22,1.1,1.397621400683015e-75,7.670578481002621e-44,-0.25389698515479353,2.862139766147793e-75,1.570830819355378e-43,-0.422363210664331,-2.0761617808081445e-73,-1.1394617935275131e-41,-0.3262397697427616,0.0,70.0,255.0,255.0,255.0
23,1.1500000000000001,1.2686864582896093e-75,6.962943642205183e-44,-0.2754228956211952,-1.0650507232343795e-74,-5.84532775101001e-43,-0.4386235431845259,-2.997872382512255e-73,-1.645325076938056e-41,-0.32422171126499366,0.0,70.0,255.0,255.0,255.0
24,1.2000000000000002,3.3257067744863554e-76,1.8252507299926099e-44,-0.2977593394732461,-2.7116584058974762e-74,-1.4882419950025184e-42,-0.4547853817908304,-2.9340429601359003e-73,-1.6102935159233484e-41,-0.32223466293266334,0.0,70.0,255.0,255.0,255.0
25,1.25,-1.4429719476078669e-75,-7.919476307820002e-44,-0.32090143380027825,-3.99909368337028e-74,-2.1948262910243495e-42,-0.47084700947779223,-1.0609279462411312e-73,-5.822700675844364e-42,-0.32015744643045796,0.0,70.0,255.0,255.0,255.0
26,1.3,-3.6665230059216446e-75,-2.0123012180250886e-43,-0.34484404042102534,-3.7725863521386075e-74,-2.0705120625869548e-42,-0.4868011264338762,2.931294442140557e-73,1.6087850442457233e-41,-0.31791852392505926,0.0,70.0,255.0,255.0,255.0
27,1.35,-5.215558299746475e-75,-2.8624596933689552e-43,-0.36958154644366586,-1.0677992412297229e-74,-5.86041246778626e-43,-0.5026388618702982,7.747311478638669e-73,4.2519641359690707e-41,-0.3155081351772171,0.0,70.0,255.0,255.0,255.0
28,1.4000000000000001,-4.734322247151367e-75,-2.5983424648037146e-43,-0.39510792660805516,3.974725126500062e-74,2.181452073382116e-42,-0.5183519399515979,1.1187498935703308e-72,6.14004540503659e-41,-0.3129339553960886,0.0,70.0,255.0,255.0,255.0
29,1.4500000000000002,-1.2408331732464125e-75,-6.810076199868388e-44,-0.42141674043882565,1.0119699694473584e-73,5.554004158257964e-42,-0.533932257409907,1.0949727588758097e-72,6.009549136420092e-41,-0.31020547350886774,0.0,70.0,255.0,255.0,255.0
30,1.5,5.385377447322218e-75,2.9556616934542495e-43,-0.44850115234904586,1.492445271525816e-73,8.191001209802208e-42,-0.5493724873024847,3.959534656507085e-73,2.1731150736633402e-41,-0.30733675306358066,0.0,70.0,255.0,255.0,255.0
31,1.55,1.3683619542011749e-74,7.509993589815369e-43,-0.4763539891690741,1.407923435098067e-73,7.727119231921304e-42,-0.5646659327162651,-1.0939469726954045e-72,-6.003919304623239e-41,-0.30434765973911815,0.0,70.0,255.0,255.0,255.0
32,1.6,1.9464611798302888e-74,1.0682780925375555e-42,-0.5049677456206724,3.984982988304113e-74,2.1870819051789683e-42,-0.5798072532763965,-2.891308413374655e-72,-1.5868394750348765e-40,-0.3012885287091538,0.0,70.0,255.0,255.0,255.0
33,1.6500000000000001,1.7668602530315862e-74,9.697075494994337e-43,-0.5343347144967138,-1.483384978276588e-73,-8.141275518427462e-42,-0.5947947855871805,-4.1752123360300975e-72,-2.291485654320831e-40,-0.29824330631157414,0.0,70.0,255.0,255.0,255.0
34,1.7000000000000002,4.630762015537009e-75,2.5415054069480935e-43,-0.5644472241793904,-3.7767140371996864e-73,-2.072777463802934e-41,-0.6096315839075539,-4.0864867394896527e-72,-2.242790302975706e-40,-0.2953024173908969,0.0,70.0,255.0,255.0,255.0
35,1.75,-2.0098537841681e-74,-1.1030699143035001e-42,-0.5952978728874692,-5.569871717766241e-73,-3.056917854818452e-41,-0.6243250273262702,-1.4777210679787188e-72,-8.11019022706893e-41,-0.29253955063915926,0.0,70.0,255.0,255.0,255.0
36,1.8,-5.106795516212541e-74,-2.802767314123643e-42,-0.6268797269120174,-5.254435105178405e-73,-2.883796486509827e-41,-0.6388855389714698,4.0826584465675813e-72,2.240689217424735e-40,-0.28999134993896725,0.0,70.0,255.0,255.0,255.0
37,1.85,-7.264288889346506e-74,-3.986866400813327e-42,-0.6591864267846161,-1.4872132711986596e-73,-8.162286373937168e-42,-0.6533241623201669,1.0790502505634758e-71,5.922161486542605e-40,-0.28765327446174105,0.0,70.0,255.0,255.0,255.0
38,1.9000000000000001,-6.5940087874112e-74,-3.61899595151736e-42,-0.6922121431440341,5.5360674004563524e-73,3.038365000032779e-41,-0.6676508664176439,1.5582099450550046e-71,8.551938076779657e-40,-0.285496455721268,0.0,70.0,255.0,255.0,255.0
39,1.9500000000000002,-1.728221488890153e-74,-9.485014007805475e-43,-0.7259515134263805,1.4094886179351389e-72,7.735709439385942e-41,-0.6818738078922937,1.5250974199082796e-71,8.370206298260809e-40,-0.2834786564613556,0.0,70.0,255.0,255.0,255.0
40,2.0,7.500877391940189e-74,4.116713487868583e-42,-0.7603995239332635,2.0787041599539149e-72,1.1408571298293588e-40,-0.6959987320637795,5.514930806264165e-72,3.0267645834612328e-40,-0.2815649977596868,0.0,70.0,255.0,255.0,255.0
41,2.0500000000000003,1.9058820110648998e-73,1.0460069897513041e-41,-0.7955513866327585,1.9609816985615554e-72,1.0762474022847175e-40,-0.7100303076682624,-1.5236686813574915e-71,-8.36236493923661e-40,-0.2797212528592774,0.0,70.0,255.0,255.0,255.0
42,2.1,2.7110694377555746e-73,1.4879187510715758e-41,-0.8314025547000897,5.5503547859642335e-73,3.0462063590569775e-41,-0.7239708573497072,-4.027070160916438e-71,-2.210180647113555e-39,-0.2778602382457529,0.0,70.0,255.0,255.0,255.0
43,2.15,2.460917489661323e-73,1.3506276256570018e-41,-0.8679484723677292,-2.0660884623548834e-72,-1.1339332448288372e-40,-0.7378163314928377,-5.815318546617012e-71,-3.191626665279782e-39,-0.27584732767985676,0.0,70.0,255.0,255.0,255.0
44,2.2,6.449809754006912e-74,3.539855062427386e-42,-0.9051841878493735,-5.26028306802059e-72,-2.8870060293740846e-40,-0.7515555901176929,-5.6917410056841554e-71,-3.123803489006752e-39,-0.2735506956914935,0.0,70.0,255.0,255.0,255.0
45,2.25,-2.799365578359267e-73,-1.5363784037170827e-41,-0.9431040313794985,-7.757829468039038e-72,-4.25773673383559e-40,-0.765171401061987,-2.058200215707794e-71,-1.1296039311138026e-39,-0.2708524862940931,0.0,70.0,255.0,255.0,255.0
46,2.3000000000000003,-7.112848492638348e-73,-3.903751227592852e-41,-0.9817013279555722,-7.318483283728383e-72,-4.016609960487887e-40,-0.7786408387471022,5.686408880773207e-71,3.1208770539521716e-39,-0.2677088134490524,0.0,70.0,255.0,255.0,255.0
47,2.35,-1.0117848862087651e-72,-5.55298836420497e-41,-1.0209681152542087,-2.0714205872658306e-72,-1.136859679883418e-40,-0.7919422824068922,1.502923039310228e-70,8.248506439799955e-39,-0.2642310872405851,0.0,70.0,255.0,255.0,255.0
48,2.4000000000000004,-9.184269079904178e-73,-5.04061090747627e-41,-1.0608955561962614,7.710747109373898e-72,4.231896479312068e-40,-0.8050639474711607,2.170306424141305e-70,1.191131285344116e-38,-0.26063143635663977,0.0,70.0,255.0,255.0,255.0
49,2.45,-2.4071017527137524e-73,-1.3210918848929014e-41,-1.1014745100013248,1.963164365414722e-71,1.0774453173557742e-39,-0.8180054260425562,2.1241866602828334e-70,1.1658193326200939e-38,-0.2571370223111824,0.0,70.0,255.0,255.0,255.0
50,2.5,1.0447374574243047e-72,5.733842266081473e-41,-1.142696098800517,2.8952613712202234e-71,1.589008980551301e-39,-0.830777649702279,7.681307782204752e-71,4.215739266109093e-39,-0.2539570850358608,0.0,70.0,255.0,255.0,255.0
51,2.5500000000000003,2.6545511959488484e-72,1.4568997920620108e-40,-1.1845522749715527,2.7312951436351973e-71,1.4990192439666835e-39,-0.8434011345461423,-2.1221966841735335e-70,-1.1647271721885033e-38,-0.2512034933444651,0.0,70.0,255.0,255.0,255.0
52,2.6,3.7760326010595024e-72,2.072403470574831e-40,-1.2270362122551313,7.730646870466895e-72,4.242818083627975e-40,-0.8558979990367255,-5.608985141149267e-70,-3.0783845112086277e-38,-0.24884730090377616,0.0,70.0,255.0,255.0,255.0
53,2.6500000000000004,3.427615882995538e-72,1.8811816004248083e-40,-1.2701420748752252,-2.8776899975140705e-71,-1.5793652672419443e-39,-0.8682858646365199,-8.099693841903518e-70,-4.4453624748484855e-38,-0.24679503878175524,0.0,70.0,255.0,255.0,255.0
54,2.7,8.983426035454315e-73,4.930382033328864e-41,-1.3138647987187833,-7.32662915485683e-71,-4.021080666485688e-39,-0.880577502914901,-7.927572540562922e-70,-4.3508969815796974e-38,-0.24494121506375421,0.0,70.0,255.0,255.0,255.0
55,2.75,-3.899013271861293e-72,-2.13989906606088e-40,-1.3581998251667153,-1.0805262538076994e-70,-5.930262248821642e-39,-0.8927799861428953,-2.8667030913111266e-70,-1.573335313332257e-38,-0.24318714559041776,0.0,70.0,255.0,255.0,255.0
56,2.8000000000000003,-9.906919934531562e-72,-5.437224045488755e-40,-1.4031427973330728,-1.0193332246167956e-70,-5.594415979817945e-39,-0.9048962174739428,7.920145848616818e-70,4.346820983358794e-38,-0.24145875163470443,0.0,70.0,255.0,255.0,255.0
57,2.85,-1.4092345518029248e-71,-7.734315045878825e-40,-1.4486894469141096,-2.8851166894601758e-71,-1.5834412654628472e-39,-0.9169258613063658,2.0933017525286851e-69,1.1488687400854516e-37,-0.23966250634703812,0.0,70.0,255.0,255.0,255.0
58,2.9000000000000004,-1.2792036623991738e-71,-7.020665310951603e-40,-1.4948353834637094,1.0739685279118896e-70,5.89427142103657e-39,-0.9288624681086466,3.0228468943472775e-69,1.6590318614049826e-37,-0.2376630938310642,0.0,70.0,255.0,255.0,255.0
59,2.95,-3.352660238910353e-72,-1.8400436248422547e-40,-1.5415756937249743,2.73433522540126e-70,1.500687734858698e-38,-0.9406921706894722,2.9586103501968845e-69,1.6237768593698694e-37,-0.23531965589524972,0.0,70.0,255.0,255.0,255.0
60,3.0,1.4551315630020865e-71,7.986212037635376e-40,-1.5889046005326566,4.0325788781087745e-70,2.2132040014735263e-38,-0.9523944336981716,1.0698681587024003e-69,5.871767326718112e-38,-0.23249433260237318,0.0,70.0,255.0,255.0,255.0
61,3.0500000000000003,3.69731285421774e-71,2.0291996389893012e-39,-1.6368151370947914,3.80420338410366e-70,2.0878644675305092e-38,-0.9639416039497095,-2.955838671029374e-69,-1.6222556761246664e-37,-0.2291399616554557,0.0,70.0,255.0,255.0,255.0
62,3.1,5.2593349471057475e-71,2.8864856712940468e-39,-1.6852987609276275,1.0767402070794003e-70,5.9094832534886e-39,-0.9753084298637171,-7.812308495999811e-69,-4.2876365092209425e-37,-0.2254279883933341,0.0,70.0,255.0,255.0,255.0
63,3.1500000000000004,4.77405306129714e-71,2.6201479643381612e-39,-1.7343459800811631,-4.008105111896151e-70,-2.1997720416904338e-38,-0.9864844027890429,-1.1281418193198757e-68,-6.191591198135082e-37,-0.22166978869102572,0.0,70.0,255.0,255.0,255.0
64,3.2,1.2512298352095966e-71,6.867136296036128e-40,-1.7839472012065318,-1.0204677986119358e-69,-5.600642872786223e-38,-0.9974754087328197,-1.1041684146731248e-68,-6.060017739321509e-37,-0.21819190960699064,0.0,70.0,255.0,255.0,255.0
65,3.25,-5.4306249248222185e-71,-2.980494908448062e-39,-1.8340935209544451,-1.5049789258627399e-69,-8.259789781011943e-38,-1.008303593749742,-3.9928023256784926e-69,-2.1913733993540198e-37,-0.21531552400011478,0.0,70.0,255.0,255.0,255.0
66,3.3000000000000003,-1.3798559423417805e-70,-7.573076151408331e-39,-1.884777560581506,-1.419748031179785e-69,-7.792016272140243e-38,-1.0190069611328312,1.1031340099255812e-68,6.05434060616279e-37,-0.21319520127744962,0.0,70.0,255.0,255.0,255.0
67,3.35,-1.962810523662007e-70,-1.0772511180588305e-38,-1.9359942170677282,-4.0184491593715867e-70,-2.2054491748491536e-38,-1.029623113877487,2.915593223147057e-68,1.600167729679832e-36,-0.21165565662966124,0.0,70.0,255.0,255.0,255.0
68,3.4000000000000004,-1.7817008582789392e-70,-9.778525326257484e-39,-1.9877398719692547,1.4958451919672718e-69,8.209661024658077e-38,-1.0401725267957973,4.210282587844775e-68,2.3107332931135342e-36,-0.21034679569378323,0.0,70.0,255.0,255.0,255.0
