idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,5.000000000000003,0.0,0.0025000000000000226,-1.7763568394002505e-14,0.0,-0.054360101334379844,1.7763568394002505e-13,0.0,-0.22959932443746792,0.0,70.0,255.0,255.0,255.0
1,0.05,5.000000000000002,0.0,-0.0002180050667189696,-8.881784197001252e-15,0.0,-0.06584006755625324,1.7763568394002505e-13,0.0,-0.34369907110151854,0.0,70.0,255.0,255.0,255.0
2,0.1,5.000000000000002,0.0,-0.004084006755625301,0.0,0.0,-0.0887300084445317,8.881784197001252e-14,0.0,-0.4563989866562021,0.0,70.0,255.0,255.0,255.0
3,0.15000000000000002,5.000000000000002,0.0,-0.00909100591117214,0.0,0.0,-0.11147996622187345,1.0658141036401503e-12,0.0,-0.453599324437509,0.0,70.0,255.0,255.0,255.0
4,0.2,5.000000000000002,0.0,-0.015232003377812647,1.0658141036401503e-13,0.0,-0.1340899408882826,1.0658141036401503e-12,0.0,-0.4508013476267808,0.0,70.0,255.0,255.0,255.0
5,0.25,5.000000000000012,0.0,-0.0225000000000004,1.0658141036401503e-13,0.0,-0.15656010098455153,-1.0658141036401503e-12,0.0,-0.44801306191196183,0.0,70.0,255.0,255.0,255.0
6,0.30000000000000004,5.000000000000012,0.0,-0.030888013476267802,0.0,0.0,-0.1788912470794788,-1.0658141036401503e-12,0.0,-0.44523704222209054,0.0,70.0,255.0,255.0,255.0
7,0.35000000000000003,5.000000000000012,0.0,-0.04038912470794828,0.0,0.0,-0.20108380520676059,0.0,0.0,-0.4424513314362688,0.0,70.0,255.0,255.0,255.0
8,0.4,5.000000000000012,0.0,-0.05099639399694386,0.0,0.0,-0.22313638022310567,0.0,0.0,-0.4396208637046714,0.0,70.0,255.0,255.0,255.0
9,0.45,5.000000000000012,0.0,-0.06270276273025885,0.0,0.0,-0.24504589157722773,0.0,0.0,-0.43672423383545433,0.0,70.0,255.0,255.0,255.0
