Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-5,0,-0.0025,255,255,255
250,-5,0,0.022,255,255,255
500,-5,0,0.073,255,255,255
750,-5,0,0.1499,255,255,255
1000,-5,0,0.2517,255,255,255
1250,-5,0,0.3775,255,255,255
1500,-5,0,0.5262,255,255,255
1750,-5,0,0.6968,255,255,255
2000,-5,0,0.8884,255,255,255
2250,-5,0,1.0999,255,255,255
2500,-5,0,1.3304,255,255,255
2750,-5,0,1.5788,255,255,255
3000,-5,0,1.8443,255,255,255
3250,-5,0,2.1257,255,255,255
3500,-5,0,2.4222,255,255,255
3750,-5,0,2.7326,255,255,255
4000,-5,0,3.0561,255,255,255
4250,-5,0,3.3915,255,255,255
4500,-5,0,3.7374,255,255,255
4750,-5,0,4.0914,255,255,255
5000,-5,0,4.4521,255,255,255
5250,-5,0,4.8182,255,255,255
5500,-5,0,5.1885,255,255,255
5750,-5,0,5.5616,255,255,255
6000,-5,0,5.9362,255,255,255
6250,-5,0,6.3111,255,255,255
6500,-5,0,6.6849,255,255,255
6750,-5,0,7.0563,255,255,255
7000,-5,0,7.424,255,255,255
7250,-5,0,7.7868,255,255,255
7500,-5,0,8.1432,255,255,255
7750,-5,0,8.4921,255,255,255
8000,-5,0,8.8321,255,255,255
8250,-5,0,9.1619,255,255,255
8500,-5,0,9.4802,255,255,255
8750,-5,0,9.7857,255,255,255
9000,-5,0,10.0771,255,255,255
9250,-5,0,10.3531,255,255,255
9500,-5,0,10.6124,255,255,255
9750,-5,0,10.8536,255,255,255
10000,-5,0,11.0756,255,255,255
10250,-5,0,11.2769,255,255,255
10500,-5,0,11.4563,255,255,255
10750,-5,0,11.6125,255,255,255
11000,-5,0,11.7442,255,255,255
11250,-5,0,11.85,255,255,255
11500,-5,0,11.9288,255,255,255
11750,-5,0,11.979,255,255,255
12000,-5,0,11.9996,255,255,255
12250,-5,0,12,255,255,255
12500,-5,0,12,255,255,255
12750,-5,0,12,255,255,255
13000,-4.9948,-0.0052,12,255,255,255
13250,-4.9751,-0.0249,12,255,255,255
