Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,5,0,-0.0025,255,255,255
250,5,0,0.0225,255,255,255
500,5,0,0.0755,255,255,255
750,5,0,0.1556,255,255,255
1000,5,0,0.2617,255,255,255
1250,5,0,0.3924,255,255,255
1500,5,0,0.5466,255,255,255
1750,5,0,0.723,255,255,255
2000,5,0,0.9204,255,255,255
2250,5,0,1.1376,255,255,255
2500,5,0,1.3734,255,255,255
2750,5,0,1.6265,255,255,255
3000,5,0,1.8958,255,255,255
3250,5,0,2.1799,255,255,255
3500,5,0,2.4777,255,255,255
3750,5,0,2.788,255,255,255
4000,5,0,3.1094,255,255,255
4250,5,0,3.4409,255,255,255
4500,5,0,3.7811,255,255,255
4750,5,0,4.1289,255,255,255
5000,5,0,4.483,255,255,255
5250,5,0,4.8422,255,255,255
5500,5,0,5.2053,255,255,255
5750,5,0,5.5711,255,255,255
6000,5,0,5.9383,255,255,255
6250,5,0,6.3056,255,255,255
6500,5,0,6.672,255,255,255
6750,5,0,7.0361,255,255,255
7000,5,0,7.3968,255,255,255
7250,5,0,7.7527,255,255,255
7500,5,0,8.1028,255,255,255
7750,5,0,8.4457,255,255,255
8000,5,0,8.7803,255,255,255
8250,5,0,9.1052,255,255,255
8500,5,0,9.4194,255,255,255
8750,5,0,9.7215,255,255,255
9000,5,0,10.0104,255,255,255
9250,5,0,10.2847,255,255,255
9500,5,0,10.5434,255,255,255
9750,5,0,10.7852,255,255,255
10000,5,0,11.0087,255,255,255
10250,5,0,11.213,255,255,255
10500,5,0,11.3966,255,255,255
10750,5,0,11.5584,255,255,255
11000,5,0,11.6971,255,255,255
11250,5,0,11.8116,255,255,255
11500,5,0,11.9005,255,255,255
11750,5,0,11.9628,255,255,255
12000,5,0,11.9971,255,255,255
12250,5,0,12,255,255,255
12500,5,0,12,255,255,255
12750,5,0,12,255,255,255
13000,5,0,12,255,255,255
13250,5,0,12,255,255,255
13500,5,0,12,255,255,255
13750,5,0,12,255,255,255
14000,5,0,12,255,255,255
14250,5,0,12,255,255,255
14500,5,0,12,255,255,255
14750,5,0,12,255,255,255
15000,5,0,12,255,255,255
15250,5,0,12,255,255,255
15500,5,0,12,255,255,255
15750,5,0,12,255,255,255
16000,5,0,12,255,255,255
16250,5,0,12,255,255,255
16500,5,0,12,255,255,255
16750,5,0,12,255,255,255
17000,5,0,12,255,255,255
17250,5,0,12,255,255,255
17500,5,0,12,255,255,255
17750,5,0,12,255,255,255
18000,5,0,12,255,255,255
18250,5,0,12,255,255,255
18500,5,0,12,255,255,255
18750,5,0,12,255,255,255
19000,5,0,12,255,255,255
19250,5,0,12,255,255,255
19500,5,0,12,255,255,255
19750,5,0,12,255,255,255
20000,5,0,12,255,255,255
20250,5,0,12,255,255,255
20500,5,0,12,255,255,255
20750,5,0,12,255,255,255
21000,5,0,12,255,255,255
21250,5,0,12,255,255,255
21500,5,0,12,255,255,255
21750,5,0,12,255,255,255
22000,5,0,12,255,255,255
22250,5,0,12,255,255,255
22500,5,0,12,255,255,255
22750,5,0,12,255,255,255
23000,5,0,12,255,255,255
23250,5,0,12,255,255,255
23500,5,0,12,255,255,255
23750,5,0,12,255,255,255
24000,5,0,12,255,255,255
24250,5,0,12,255,255,255
24500,5,0,12,255,255,255
24750,5,0,12,255,255,255
25000,5,0,12,255,255,255
25250,5,0,12,255,255,255
25500,5,0,12,255,255,255
25750,5,0,12,255,255,255
26000,5,0,12,255,255,255
26250,5,0,12,255,255,255
26500,5,0,12,255,255,255
26750,5,0,12,255,255,255
27000,5,0,12,255,255,255
27250,5,0,12,255,255,255
27500,5,0,12,255,255,255
27750,5,0,12,255,255,255
28000,5,0,12,255,255,255
28250,5,0,12,255,255,255
28500,5,0,12,255,255,255
28750,4.9931,0,12,255,255,255
29000,4.9756,0,12,255,255,255
29250,4.9483,0,12,255,255,255
29500,4.9112,0,12,255,255,255
29750,4.8648,0,12,255,255,255
30000,4.8091,0,12,255,255,255
30250,4.7444,0,12,255,255,255
30500,4.671,0,12,255,255,255
30750,4.589,0,12,255,255,255
31000,4.4987,0,12,255,255,255
31250,4.4003,0,12,255,255,255
31500,4.2941,0,12,255,255,255
31750,4.1801,0,12,255,255,255
32000,4.0588,0,12,255,255,255
32250,3.9302,0,12,255,255,255
32500,3.7947,0,12,255,255,255
32750,3.6524,0,12,255,255,255
33000,3.5036,0,12,255,255,255
33250,3.3484,0,12,255,255,255
33500,3.1871,0,12,255,255,255
33750,3.02,0,12,255,255,255
34000,2.8473,0,12,255,255,255
34250,2.6691,0,12,255,255,255
34500,2.4857,0,12,255,255,255
34750,2.2973,0,12,255,255,255
35000,2.1042,0,12,255,255,255
35250,1.9065,0,12,255,255,255
35500,1.7046,0,12,255,255,255
35750,1.4985,0,12,255,255,255
36000,1.2886,0,12,255,255,255
36250,1.075,0,12,255,255,255
36500,0.858,0,12,255,255,255
36750,0.6378,0,12,255,255,255
37000,0.4147,0,12,255,255,255
37250,0.1888,0,12,255,255,255
37500,-0.0397,0,12,255,255,255
37750,-0.2704,0,12,255,255,255
38000,-0.5033,0,12,255,255,255
38250,-0.738,0,12,255,255,255
38500,-0.9743,0,12,255,255,255
38750,-1.212,0,12,255,255,255
39000,-1.451,0,12,255,255,255
39250,-1.6909,0,12,255,255,255
39500,-1.9315,0,12,255,255,255
39750,-2.1727,0,12,255,255,255
40000,-2.4142,0,12,255,255,255
40250,-2.6558,0,12,255,255,255
40500,-2.8972,0,12,255,255,255
40750,-3.1382,0,12,255,255,255
41000,-3.3787,0,12,255,255,255
41250,-3.6183,0,12,255,255,255
41500,-3.8569,0,12,255,255,255
41750,-4.0943,0,12,255,255,255
42000,-4.3302,0,12,255,255,255
42250,-4.5643,0,12,255,255,255
42500,-4.7966,0,12,255,255,255
42750,-5.0267,0,12,255,255,255
43000,-5.2544,0,12,255,255,255
43250,-5.4795,0,12,255,255,255
43500,-5.7019,0,12,255,255,255
43750,-5.9211,0,12,255,255,255
44000,-6.1372,0,12,255,255,255
44250,-6.3497,0,12,255,255,255
44500,-6.5585,0,12,255,255,255
44750,-6.7634,0,12,255,255,255
45000,-6.9641,0,12,255,255,255
45250,-7.1605,0,12,255,255,255
45500,-7.3523,0,12,255,255,255
45750,-7.5392,0,12,255,255,255
46000,-7.7211,0,12,255,255,255
46250,-7.8977,0,12,255,255,255
46500,-8.0689,0,12,255,255,255
46750,-8.2343,0,12,255,255,255
47000,-8.3938,0,12,255,255,255
47250,-8.5471,0,12,255,255,255
47500,-8.6941,0,12,255,255,255
47750,-8.8344,0,12,255,255,255
48000,-8.968,0,12,255,255,255
48250,-9.0944,0,12,255,255,255
48500,-9.2137,0,12,255,255,255
48750,-9.3254,0,12,255,255,255
49000,-9.4294,0,12,255,255,255
49250,-9.5254,0,12,255,255,255
49500,-9.6133,0,12,255,255,255
49750,-9.6928,0,12,255,255,255
50000,-9.7637,0,12,255,255,255
50250,-9.8258,0,12,255,255,255
50500,-9.8788,0,12,255,255,255
50750,-9.9225,0,12,255,255,255
51000,-9.9568,0,12,255,255,255
51250,-9.9813,0,12,255,255,255
51500,-9.9959,0,12,255,255,255
51750,-10.0003,0,12,255,255,255
52000,-9.9935,0,12,255,255,255
52250,-9.9742,0,12,255,255,255
52500,-9.9427,0,12,255,255,255
52750,-9.8991,0,12,255,255,255
53000,-9.844,0,12,255,255,255
53250,-9.7775,0,12,255,255,255
53500,-9.7,0,12,255,255,255
53750,-9.6117,0,12,255,255,255
54000,-9.5131,0,12,255,255,255
54250,-9.4043,0,12,255,255,255
54500,-9.2857,0,12,255,255,255
54750,-9.1577,0,12,255,255,255
55000,-9.0205,0,12,255,255,255
55250,-8.8744,0,12,255,255,255
55500,-8.7197,0,12,255,255,255
55750,-8.5568,0,12,255,255,255
56000,-8.3859,0,12,255,255,255
56250,-8.2074,0,12,255,255,255
56500,-8.0216,0,12,255,255,255
56750,-7.8288,0,12,255,255,255
57000,-7.6292,0,12,255,255,255
57250,-7.4232,0,12,255,255,255
57500,-7.2111,0,12,255,255,255
57750,-6.9933,0,12,255,255,255
58000,-6.77,0,12,255,255,255
58250,-6.5414,0,12,255,255,255
58500,-6.3081,0,12,255,255,255
58750,-6.0701,0,12,255,255,255
59000,-5.828,0,12,255,255,255
59250,-5.5818,0,12,255,255,255
59500,-5.3321,0,12,255,255,255
59750,-5.079,0,12,255,255,255
60000,-4.8229,0,12,255,255,255
60250,-4.5641,0,12,255,255,255
60500,-4.3029,0,12,255,255,255
60750,-4.0397,0,12,255,255,255
61000,-3.7746,0,12,255,255,255
61250,-3.508,0,12,255,255,255
61500,-3.2403,0,12,255,255,255
61750,-2.9718,0,12,255,255,255
62000,-2.7027,0,12,255,255,255
62250,-2.4333,0,12,255,255,255
62500,-2.164,0,12,255,255,255
62750,-1.8951,0,12,255,255,255
63000,-1.6269,0,12,255,255,255
63250,-1.3596,0,12,255,255,255
63500,-1.0937,0,12,255,255,255
63750,-0.8294,0,12,255,255,255
64000,-0.567,0,12,255,255,255
64250,-0.3068,0,12,255,255,255
64500,-0.0491,0,12,255,255,255
64750,0.2057,0,12,255,255,255
65000,0.4573,0,12,255,255,255
65250,0.7055,0,12,255,255,255
65500,0.95,0,12,255,255,255
65750,1.1904,0,12,255,255,255
66000,1.4263,0,12,255,255,255
66250,1.6576,0,12,255,255,255
66500,1.8837,0,12,255,255,255
66750,2.1038,0,12,255,255,255
67000,2.3178,0,12,255,255,255
67250,2.5253,0,12,255,255,255
67500,2.7262,0,12,255,255,255
67750,2.9202,0,12,255,255,255
68000,3.1071,0,12,255,255,255
68250,3.2867,0,12,255,255,255
68500,3.4587,0,12,255,255,255
68750,3.6229,0,12,255,255,255
69000,3.7791,0,12,255,255,255
69250,3.927,0,12,255,255,255
69500,4.0664,0,12,255,255,255
69750,4.1971,0,12,255,255,255
70000,4.3188,0,12,255,255,255
70250,4.4314,0,12,255,255,255
70500,4.5345,0,12,255,255,255
70750,4.6279,0,12,255,255,255
71000,4.7114,0,12,255,255,255
71250,4.7849,0,12,255,255,255
71500,4.8479,0,12,255,255,255
71750,4.9004,0,12,255,255,255
72000,4.9421,0,12,255,255,255
72250,4.9727,0,12,255,255,255
72500,4.992,0,12,255,255,255
72750,4.9998,0,12,255,255,255
73000,5,0,12,255,255,255
73250,5,0,12,255,255,255
73500,5,0,12,255,255,255
73750,5,0,12,255,255,255
74000,5,0,12,255,255,255
74250,5,0,12,255,255,255
74500,5,0,12,255,255,255
74750,5,0,12,255,255,255
75000,4.9938,0,11.9988,255,255,255
75250,4.9702,0,11.994,255,255,255
75500,4.9296,0,11.9859,255,255,255
75750,4.8727,0,11.9746,255,255,255
